                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     55,                0.52193,                0.55849,                 0.8625,                0.97445,                0.90909,                0.96301,                0.84561,                0.59341,                0.65683,                0.92819,              0.0012416,              0.0012416,              0.0012416
                     56,                0.54167,                0.57614,                 0.8879,                0.93419,                0.93292,                0.96379,                0.83981,                0.56816,                0.63897,                0.92302,               0.001238,               0.001238,               0.001238
                     57,                0.52365,                0.58973,                0.90121,                0.92229,                0.96368,                0.97882,                0.85946,                0.58419,                0.60119,                0.94399,              0.0012345,              0.0012345,              0.0012345
                     58,                 0.5211,                0.56761,                0.88021,                0.94112,                0.94346,                 0.9822,                0.84417,                0.59439,                0.59984,                0.95821,              0.0012309,              0.0012309,              0.0012309
                     59,                 0.5039,                0.55104,                0.86261,                  0.931,                0.96679,                 0.9797,                0.86438,                0.59239,                 0.6161,                0.94853,              0.0012274,              0.0012274,              0.0012274
                     60,                0.50351,                0.58337,                0.87208,                0.96105,                0.96166,                0.98288,                0.85264,                0.57862,                0.59124,                0.94206,              0.0012239,              0.0012239,              0.0012239
                     61,                0.50412,                 0.5778,                0.86289,                0.94877,                0.96689,                  0.987,                0.83718,                0.57967,                0.60072,                0.94404,              0.0012203,              0.0012203,              0.0012203
                     62,                0.52249,                0.56259,                0.89199,                0.88727,                 0.9697,                 0.9829,                0.83748,                0.57434,                0.61679,                0.94183,              0.0012168,              0.0012168,              0.0012168
                     63,                0.51348,                0.55316,                0.88605,                0.91235,                0.99491,                0.98584,                0.83607,                0.58251,                0.65839,                0.93098,              0.0012133,              0.0012133,              0.0012133
                     64,                0.48146,                0.57237,                0.88598,                0.90434,                0.99223,                0.98857,                0.84816,                0.56047,                0.65933,                0.92208,              0.0012097,              0.0012097,              0.0012097
                     65,                0.47668,                0.53289,                0.85992,                0.89973,                0.99372,                0.98516,                0.85183,                0.52716,                0.60565,                0.91246,              0.0012062,              0.0012062,              0.0012062
                     66,                0.48737,                0.53474,                0.85912,                0.89799,                0.99992,                0.97827,                0.84518,                0.53399,                0.57311,                0.92286,              0.0012026,              0.0012026,              0.0012026
                     67,                0.46173,                0.51795,                 0.8605,                 0.8955,                0.99707,                0.97477,                0.82276,                0.55222,                0.57068,                0.95159,              0.0011991,              0.0011991,              0.0011991
                     68,                0.47297,                0.50536,                0.87573,                0.89021,                 0.9697,                0.97062,                  0.833,                0.52629,                0.56811,                0.96324,              0.0011956,              0.0011956,              0.0011956
                     69,                0.46434,                0.49691,                0.85197,                0.98106,                0.93367,                0.98577,                0.83973,                0.53422,                0.57941,                0.95381,               0.001192,               0.001192,               0.001192
                     70,                0.44859,                0.49645,                0.86098,                0.98581,                0.90909,                0.98277,                0.84565,                0.52399,                0.57029,                0.93106,              0.0011885,              0.0011885,              0.0011885
                     71,                0.50995,                0.52306,                0.88642,                0.98394,                0.90909,                  0.976,                0.82929,                0.53846,                0.59423,                0.92804,               0.001185,               0.001185,               0.001185
                     72,                0.47297,                0.50015,                0.85146,                0.94872,                0.87879,                0.96125,                0.81994,                0.55323,                 0.6545,                0.91982,              0.0011814,              0.0011814,              0.0011814
                     73,                0.49526,                0.51322,                0.87244,                 0.9427,                0.87879,                0.95992,                0.81739,                0.53443,                0.66531,                0.91589,              0.0011779,              0.0011779,              0.0011779
                     74,                0.47696,                0.49938,                0.85146,                0.93762,                 0.8788,                0.95871,                0.83655,                 0.5239,                0.64439,                0.90985,              0.0011744,              0.0011744,              0.0011744
                     75,                0.50445,                0.50337,                0.88379,                0.87564,                0.92607,                0.94969,                0.80573,                 0.5276,                0.62156,                 0.9106,              0.0011708,              0.0011708,              0.0011708
                     76,                0.49059,                0.48959,                0.85978,                0.97392,                0.87879,                0.95077,                0.80624,                0.57193,                0.61325,                0.92186,              0.0011673,              0.0011673,              0.0011673
                     77,                0.48725,                0.50636,                0.86215,                0.95247,                 0.9055,                0.95374,                0.81589,                0.57252,                0.59846,                0.92407,              0.0011637,              0.0011637,              0.0011637
                     78,                0.50855,                0.50397,                0.86492,                0.95322,                 0.9306,                0.96143,                 0.8477,                 0.5216,                0.60663,                0.90212,              0.0011602,              0.0011602,              0.0011602
                     79,                0.55113,                0.54601,                0.90522,                  0.959,                0.95924,                 0.9822,                0.84077,                0.53053,                0.56518,                0.89691,              0.0011567,              0.0011567,              0.0011567
                     80,                 0.5009,                0.49938,                0.85151,                0.96448,                 0.9697,                0.98563,                0.83704,                0.54965,                0.59627,                0.91601,              0.0011531,              0.0011531,              0.0011531
                     81,                0.46901,                0.48898,                0.85854,                0.95501,                 0.9697,                0.98427,                0.81924,                0.54163,                0.56293,                0.90795,              0.0011496,              0.0011496,              0.0011496
                     82,                0.44453,                0.47327,                0.85767,                0.95245,                 0.9697,                0.98584,                0.83399,                0.51962,                0.54841,                0.89943,              0.0011461,              0.0011461,              0.0011461
                     83,                0.44271,                  0.458,                0.85339,                0.95755,                0.93939,                0.98238,                 0.8332,                0.53781,                0.58452,                   0.91,              0.0011425,              0.0011425,              0.0011425
                     84,                0.42109,                0.45948,                0.84811,                0.94305,                0.90909,                0.95886,                0.81892,                 0.5571,                0.61921,                0.91197,               0.001139,               0.001139,               0.001139
                     85,                0.47441,                0.47176,                0.87235,                0.95064,                0.90909,                0.95937,                0.81967,                  0.557,                0.61436,                0.91892,              0.0011354,              0.0011354,              0.0011354
                     86,                0.45286,                0.48757,                0.85173,                0.93041,                0.93939,                0.96567,                0.81763,                0.55721,                0.59322,                0.91784,              0.0011319,              0.0011319,              0.0011319
                     87,                0.50298,                0.48669,                0.87265,                 0.9208,                0.93939,                0.96684,                0.83246,                0.56928,                0.58726,                0.92668,              0.0011284,              0.0011284,              0.0011284
                     88,                0.49841,                0.50243,                0.87843,                0.94299,                0.93939,                0.94249,                0.83667,                0.54492,                0.58592,                0.92506,              0.0011248,              0.0011248,              0.0011248
